Key	Korean	English
name_raguel	라구엘	Raguel
name_leviathan	레비아탄	Leviathan
raguel_pre_001	친절의 회랑은 눈부시게 희고, 인공적으로 고요하며, 천장 너머의 거대한 기계음만이 낮게 숨 쉬고 있었다.	The Corridor of Kindness was dazzlingly white and artificially silent, with only the low breathing of a massive machine beyond the ceiling.
raguel_pre_002	레비아탄은 이곳에 갇힐 만한 문제를 일으킨 적이 없다고 생각하는데요. 뭔가 오해가 있었던 거 아닌가요?	Leviathan believes she has done nothing worthy of being locked in here. Perhaps there has been some misunderstanding?
raguel_pre_003	불쾌 반응 확인. 심박수 상승. 호흡 간격 불안정. 감정 안정화 절차를 계속합니다.	Discomfort response confirmed. Heart rate rising. Breathing interval unstable. Continuing emotional stabilization procedure.
raguel_pre_004	친절하게 여기서 내보내 주시면 바로 안정될 것 같은데요?	Leviathan believes she would stabilize immediately if you kindly let her out of here.
raguel_pre_005	요청 반려. 대상 레비아탄은 집착성 정서 폭주 가능성 87.4퍼센트로 분류되었습니다.	Request rejected. Subject Leviathan is classified as having an 87.4 percent probability of obsessive emotional runaway.
raguel_pre_006	아직 아무것도 하지 않았는데요?	Leviathan has not done anything yet.
raguel_pre_007	예방 격리는 사후 처벌보다 효율적입니다. 협조에 감사드립니다.	Preventive isolation is more efficient than post-incident punishment. Thank you for your cooperation.
raguel_pre_008	하아... 더 이상 대화하고 싶지 않네요.	Haa... Leviathan no longer wishes to continue this conversation.
raguel_pre_009	침묵은 감정 안정에 유효합니다. 좋은 선택입니다.	Silence is effective for emotional stability. A good choice.
raguel_pre_010	그때, 흰 회랑의 자동문이 검은 틈처럼 갈라지며 셰리와 카린이 안쪽으로 걸어 들어왔다.	Then the white corridor's automatic door split open like a black rift, and Sherry and Karin walked inside.
raguel_pre_011	와. 하얗고 조용하고 기분 나쁜 공간이네.	Wow. White, quiet, and seriously unpleasant.
raguel_pre_012	방문자 확인 절차를 시작합니다. 침입자 셰리. 안드로이드 카린. 두 분의 시설 접근 권한은 확인되지 않았습니다.	Beginning visitor verification procedure. Intruder Sherry. Android Karin. Facility access authorization for both individuals has not been confirmed.
raguel_pre_013	얜 사람이야, 인형이야? 아무튼 여기서 열쇠 조각 맡아뒀다며.	Is she a person or a doll? Anyway, I heard the key fragment is stored here.
raguel_pre_014	요청 반려. 열쇠는 아레테 님의 명령에 따라 외부 반출 금지 자산으로 봉인되어 있습니다.	Request rejected. By Lady Arete's order, the key is sealed as an asset prohibited from external removal.
raguel_pre_015	음... 오늘만 못 본 척하면 안 될까?	Hmm... Could you look the other way just for today?
raguel_pre_016	권한 없음. 침입자 셰리의 요청은 기각됩니다.	No authorization. Intruder Sherry's request is denied.
raguel_pre_017	저 녀석 분명히 인형이야. 창고에 똑같은 거 몇 개 더 있을걸.	She is definitely a doll. I bet there are a few more just like her in storage.
raguel_pre_018	셰리. 카린에게 맡겨주세요.	Sherry. Please leave this to Karin.
raguel_pre_019	안드로이드 카린의 이름으로 명합니다. 열쇠 조각을 넘겨주세요!	In the name of Android Karin, I command you. Please hand over the key fragment!
raguel_pre_020	권한 없음. 안드로이드 카린의 요청은 기각됩니다.	No authorization. Android Karin's request is denied.
raguel_pre_021	음... 헬로, 언더월드?	Um... Hello, Underworld...?
raguel_pre_022	의미 확인 불가. 원활한 지원을 위해 다시 말씀해 주십시오.	Meaning cannot be confirmed. For smooth assistance, please repeat your statement.
raguel_pre_023	됐다. 말이 안 통하는 인형이랑 더 떠드는 건 질렸어.	Forget it. I am tired of talking to a doll that does not understand a word.
raguel_pre_024	침입자 셰리의 불쾌감 상승. 공격성 지수 상승. 정서 위험 인자로 분류합니다.	Intruder Sherry's discomfort is rising. Aggression index rising. Classifying as an emotional risk factor.
raguel_pre_025	친절의 회랑 제압 매뉴얼 제8항에 따라 고지합니다. 대상은 저항하지 않을 권리와 안정화될 의무를 가집니다.	Notice issued under Corridor of Kindness Suppression Manual Article 8. The subject has the right not to resist and the obligation to be stabilized.
raguel_pre_026	하아. 결국 이렇게 되는구나.	Haa. So it ends up like this after all.
raguel_pre_027	전투 보조 기체 동기화. 진압을 시작합니다.	Combat support unit synchronized. Beginning suppression.
