Key,Korean,English
casino_locked_intro,방아쇠 대신 레버라... 나쁘지 않네.,A lever instead of a trigger... not bad.
casino_unlocked_intro_1,슬롯 돌리게...?,Going to spin the slots...?
casino_unlocked_intro_2,오늘 운은 저쪽 기계에 좀 붙어있네... 아마도...,Today's luck seems to be sticking to that machine over there... probably...
casino_result_miss,레버는 돌아갔지만 지갑은 그대로였다.,The lever turned but the wallet stayed the same.
casino_result_gold_gain_format,{0:N0} 골드를 얻었다.,Gained {0:N0} gold.
casino_locked_reaction_miss,인생의 수업료를 냈다고 치지.,I will call it tuition for one of life's lessons.
casino_locked_reaction_pair,나쁘지 않네. 술값 정도는 건졌어.,Not bad. At least I covered the drinking money.
casino_locked_reaction_triple,제법인데. 오늘은 좋은 걸 마실 수 있겠어.,Not bad at all. I can drink something better tonight.
casino_locked_reaction_jackpot,잭팟이라. 오늘 밤은 운명도 내 잔에 술을 따르는군.,Jackpot. Tonight even fate is pouring a drink into my glass.
casino_unlocked_reaction_miss,하아암... 흐름이 죽었네. 이 판은 접는 게 맞아...,Yaaawn... The flow is dead. This is a hand you fold...
casino_unlocked_reaction_pair,나쁘지 않아... 손해 안 봤으면 이긴 판이야...,Not bad... If you did not lose then it counts as a win...
casino_unlocked_reaction_triple,음냐... 역시 일하지 않고 버는 돈이 제일 달콤해...,Mnya... Money earned without working really is the sweetest...
casino_unlocked_reaction_jackpot,잭팟... 행운의 여신이 네 편인가 보네...,Jackpot... Looks like Lady Luck is on your side...
