Key	Korean	English
name_michael	미카엘	Michael
name_lucifer	루시퍼	Lucifer
michael_post_001	미카엘을 쓰러뜨리고 열쇠 조각을 획득했다.	Michael was defeated and the key fragment was obtained.
michael_post_002	히비키 님께서 맡겨주신 임무를 실패했습니다... 저 같은 쓸모없는 회랑의 곰팡이는... 이제 죽음으로 속죄하는 수밖에...	I failed the mission Lady Hibiki entrusted to me... Useless corridor mold like me... has no choice but to atone with death...
michael_post_003	잠깐. 결론이 너무 극단적이잖아.	Hold on. That conclusion is way too extreme.
michael_post_004	미카엘 씨. 생명 활동 중단은 권장하지 않습니다.	Michael. Ceasing life activity is not recommended.
michael_post_005	하지만 저 같은 쓰레기가 계속 호흡하면 공기에게도 민폐가...	But if trash like me keeps breathing, even the air will suffer...
michael_post_006	아니야. 너 꽤 강했어. 술이 다 깰 정도였다고.	No. You were pretty strong. Strong enough to sober me up.
michael_post_007	전투 능력도 높았습니다. 그리고 외형도 귀여운 편입니다. 아... 그리고 또...	Your combat ability was also high. And your appearance is on the cute side. Ah... and also...
michael_post_008	귀... 귀엽... 저 같은 게 계속 살아도 괜찮은 걸까요...	C... cute... Is it really okay for someone like me to keep living...?
michael_post_009	살아라. 그대는... 어... 아무튼 괜찮다.	Live. You are... uh... fine enough.
michael_post_010	셰리, 카린의 학습 데이터에 따르면 원래는 아름답다입니다.	Sherry, according to Karin's learning data, the original line is beautiful.
michael_post_011	꼬맹이, 술 먹고 나이 들다 보면 기억력이 떨어지는 법이야.	Kid, when you drink and get older, your memory starts to go.
michael_post_012	기억력 저하가 느껴진다면 즉시 음주를 중단하고 전문 의료기관에 상담을 권장합니다.	If you notice memory loss, you should stop drinking immediately and consult a medical professional.
michael_post_013	꼬맹이. 지금은 진료 시간이 아니야. 아무튼 물이나 좀 마시고 진정하라고.	Kid. This is not clinic hours. Anyway, drink some water and calm down.
michael_post_014	셰리는 바닥에 굴러다니던 루시퍼의 물병을 집어 미카엘에게 건넨다.	Sherry picks up Lucifer's bottle rolling on the floor and hands it to Michael.
michael_post_015	저 같은 것에게 물을... 한 방울도 헛되지 않게 전부 마시겠습니다...	Water for someone like me... I will drink every last drop without wasting a single one...
michael_post_016	아이고... 머리야...	Ow... my head...
michael_post_017	죄... 죄송합니다... 제가 혹시... 또 무슨 사고라도 쳤나요...?	I... I am sorry... Did I perhaps... cause another incident...?
michael_post_018	구금됐고, 술주정 부렸고, 우리한테 구해달라고 했고, 뭐 대충 평소대로였어.	You got detained, went on a drunken rant, asked us to save you, and well, it was basically business as usual.
michael_post_019	아아아... 역시 그랬군요... 죄송합니다... 전부 잊어주세요...	Aaaah... I knew it... I am sorry... Please forget all of it...
michael_post_020	됐어. 상황은 대충 정리됐으니, 나중에 가게에서 한 잔 제대로 챙겨줘.	Forget it. Things are mostly settled, so just pour me a proper drink at your place later.
michael_post_021	물론입니다... 가장 좋은 걸로 대접하겠습니다...	Of course... I will serve you the best I have...
michael_post_022	그... 그리고 제가 도움이 될지는 모르겠지만... 은혜를 갚고 싶습니다...	A... and I do not know if I can be of any help... but I want to repay you...
michael_post_023	루시퍼를 조력자로 받아들입니까?	Accept Lucifer as a supporter?
michael_post_yes_text	예	Yes
michael_post_no_text	아니오	No
michael_post_yes_001	저, 정말 괜찮으신가요...? 제가 감히 여러분과 함께하더라도...	A... are you truly sure...? That someone like me may dare to accompany you...
michael_post_yes_002	술 들어갔을 때의 화력은 확실하니까.	Your firepower with booze in you is definitely real.
michael_post_yes_003	가, 감사합니다... 최선을 다하겠습니다. 술은... 사고 치지 않을 정도로만 마셔보겠습니다...	T... thank you... I will do my best. As for drinking... I will try to stop before I cause trouble...
michael_post_yes_004	카린도 술을 마시면 더 강해질 수 있을까요?	Could Karin become stronger by drinking too?
michael_post_yes_005	아니. 넌 그런 거 없어도 충분히 강해.	No. You are strong enough without that stuff.
michael_post_yes_006	술은 약한 마음을 잠깐 속이는 물건이야. 진짜 강한 녀석은 기대지 않고 버티는 쪽이지.	Alcohol only fools a weak heart for a little while. Truly strong people endure without leaning on it.
michael_post_no_001	마음만 받을게. 이 일은 술기운으로 버티기엔 좀 위험해.	I will take the thought. This job is too dangerous to survive on liquid courage.
michael_post_no_002	아... 그렇군요... 죄송합니다. 제가 괜한 말을...	Ah... I see... I am sorry. I said something unnecessary...
michael_post_no_003	루시퍼 씨의 안전을 위한 판단입니다.	This decision is for your safety, Lucifer.
michael_post_no_004	네... 그럼 돌아오실 때까지 기다리고 있겠습니다...	Yes... Then I will wait until you return...
michael_post_common_001	으헤헤... 잘못된 건 제가 아니라... 이 세상이었던 겁니다아...	Ehehe... It was not me that was wrong... It was this world all along...
michael_post_common_002	아는 바텐더한테서 자주 보던 분위기인데...	That mood feels familiar. I have seen it from a bartender I know...
michael_post_common_003	아... 그, 그거 제 병인데요...	Ah... th, that is my bottle...
michael_post_common_004	내가 물 좀 마시라고 줬어.	I gave it to her so she could drink some water.
michael_post_common_005	그게... 물병은 맞는데... 안에 물이 들어 있다는 뜻은 아니라서...	Well... it is a water bottle... but that does not mean there is water inside...
michael_post_common_006	설명이 필요합니다.	An explanation is required.
michael_post_common_007	단속을 피하려고... 투명한 술을 물병에 조금...	To avoid inspections... I put a little clear liquor in a water bottle...
michael_post_common_008	마수를 깨워버린 모양이네. 술병 하나로.	Looks like we woke the beast. With one booze bottle.
michael_post_common_009	저는 쓰레기가 아닙니다아... 저는... 재활용 가능성 1억 퍼센트입니다!	I am not trash... I am... one hundred million percent recyclable potential!
michael_post_common_010	루시퍼보다 술주정 심한 녀석도 있네.	So there is someone with worse drunken habits than Lucifer.
michael_post_common_011	죄송합니다... 제가 사회에 끼친 피해가 또 하나...	I am sorry... Another harm I have inflicted on society...
michael_post_common_012	현장 이탈을 권장합니다.	Leaving the scene is recommended.
michael_post_common_013	동의하는 바야. 열쇠 챙겼으면 벗어나자고.	Agreed. We have the key, so let us get out of here.
michael_post_common_014	미카엘 씨... 물은 나중에 진짜 물로 드세요...	Michael... Please drink actual water next time...
michael_post_common_015	으헤헤... 세상에는...	Ehehe... In this world...
michael_post_common_016	슬러프 단골 후보가 하나 생겼네.	Looks like Slough has a new regular candidate.
michael_post_common_017	잊어버려야 더 행복한 것도 있습니다~!	Some things make you happier when you forget them~!
michael_post_common_018	셰리와 카린, 그리고 루시퍼는 술에 취한 미카엘을 뒤로하고 황급히 겸손의 회랑을 빠져나갔다.	Sherry, Karin, and Lucifer hurried out of the Corridor of Humility, leaving the drunken Michael behind.
